"Station Name","AMHERSTBURG"
"Province","ONTARIO"
"Latitude","42.10"
"Longitude","-83.09"
"Elevation","182.00"
"Climate Identifier","6130257"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2015-01-01","2015","01","01","†","0.0","","-8.5","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-02","2015","01","02","†","3.0","","-3.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-03","2015","01","03","†","2.5","","-4.0","","-0.8","","18.8","","0.0","","24.0","","0.0","","24.0","","0","","","","",""
"2015-01-04","2015","01","04","†","2.5","","0.0","","1.3","","16.7","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"2015-01-05","2015","01","05","†","-10.0","","-13.5","","-11.8","","29.8","","0.0","","0.0","","3.0","","3.0","","1","","","","",""
"2015-01-06","2015","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-07","2015","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-08","2015","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-09","2015","01","09","†","-7.0","","-14.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2015-01-10","2015","01","10","†","-2.5","","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-11","2015","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-12","2015","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-13","2015","01","13","†","-12.0","","-17.0","","-14.5","","32.5","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"2015-01-14","2015","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-15","2015","01","15","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-16","2015","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-17","2015","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-18","2015","01","18","†","5.0","","-4.0","","0.5","","17.5","","0.0","","1.2","","0.0","T","1.2","","2","","","","",""
"2015-01-19","2015","01","19","†","3.0","","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","0","","","","",""
"2015-01-20","2015","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-21","2015","01","21","†","-4.0","","-6.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2015-01-22","2015","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-23","2015","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-24","2015","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-25","2015","01","25","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-26","2015","01","26","†","-5.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2015-01-27","2015","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-28","2015","01","28","†","2.0","","-14.0","","-6.0","","24.0","","0.0","","0.0","T","0.0","","0.0","T","3","","","","",""
"2015-01-29","2015","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-30","2015","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-31","2015","01","31","†","1.0","","-13.5","","-6.3","","24.3","","0.0","","0.0","","5.0","","5.0","","0","","","","",""
"2015-02-01","2015","02","01","†","-4.0","","-6.0","","-5.0","","23.0","","0.0","","0.0","","15.0","","15.0","","8","","","","",""
"2015-02-02","2015","02","02","†","-7.0","","-10.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"2015-02-03","2015","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"2015-02-04","2015","02","04","†","1.0","","-6.0","","-2.5","","20.5","","0.0","","0.0","","2.0","","2.0","","30","","","","",""
"2015-02-05","2015","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"2015-02-06","2015","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"2015-02-07","2015","02","07","","","","","","","","","","","","","","","","","","","","","","",""
